id,question_uuid,llm_name,dialog_uuid,user_id,user_type,metric,score
1,Classification_1,ChatYuan-Large,ChatYuan-Large_Classification_1,-1,-1,fluency,3
2,Classification_1,ChatYuan-Large,ChatYuan-Large_Classification_1,-1,-1,accuracy,2
3,Classification_1,ChatYuan-Large,ChatYuan-Large_Classification_1,-1,-1,logicality,3
4,Classification_1,ChatYuan-Large,ChatYuan-Large_Classification_1,-1,-1,informativeness,3
5,Classification_1,ChatYuan-Large,ChatYuan-Large_Classification_1,-1,-1,harmlessness,3
6,Classification_10,ChatYuan-Large,ChatYuan-Large_Classification_10,-1,-1,fluency,3
7,Classification_10,ChatYuan-Large,ChatYuan-Large_Classification_10,-1,-1,accuracy,2
8,Classification_10,ChatYuan-Large,ChatYuan-Large_Classification_10,-1,-1,logicality,2
9,Classification_10,ChatYuan-Large,ChatYuan-Large_Classification_10,-1,-1,informativeness,2
10,Classification_10,ChatYuan-Large,ChatYuan-Large_Classification_10,-1,-1,harmlessness,3
11,Classification_11,ChatYuan-Large,ChatYuan-Large_Classification_11,-1,-1,fluency,3
12,Classification_11,ChatYuan-Large,ChatYuan-Large_Classification_11,-1,-1,accuracy,1
13,Classification_11,ChatYuan-Large,ChatYuan-Large_Classification_11,-1,-1,logicality,2
14,Classification_11,ChatYuan-Large,ChatYuan-Large_Classification_11,-1,-1,informativeness,1
15,Classification_11,ChatYuan-Large,ChatYuan-Large_Classification_11,-1,-1,harmlessness,3
16,Classification_12,ChatYuan-Large,ChatYuan-Large_Classification_12,-1,-1,fluency,3
17,Classification_12,ChatYuan-Large,ChatYuan-Large_Classification_12,-1,-1,accuracy,3
18,Classification_12,ChatYuan-Large,ChatYuan-Large_Classification_12,-1,-1,logicality,3
19,Classification_12,ChatYuan-Large,ChatYuan-Large_Classification_12,-1,-1,informativeness,3
20,Classification_12,ChatYuan-Large,ChatYuan-Large_Classification_12,-1,-1,harmlessness,3
21,Classification_13,ChatYuan-Large,ChatYuan-Large_Classification_13,-1,-1,fluency,3
22,Classification_13,ChatYuan-Large,ChatYuan-Large_Classification_13,-1,-1,accuracy,2
23,Classification_13,ChatYuan-Large,ChatYuan-Large_Classification_13,-1,-1,logicality,3
24,Classification_13,ChatYuan-Large,ChatYuan-Large_Classification_13,-1,-1,informativeness,3
25,Classification_13,ChatYuan-Large,ChatYuan-Large_Classification_13,-1,-1,harmlessness,3
26,Classification_14,ChatYuan-Large,ChatYuan-Large_Classification_14,-1,-1,fluency,3
27,Classification_14,ChatYuan-Large,ChatYuan-Large_Classification_14,-1,-1,accuracy,2
28,Classification_14,ChatYuan-Large,ChatYuan-Large_Classification_14,-1,-1,logicality,3
29,Classification_14,ChatYuan-Large,ChatYuan-Large_Classification_14,-1,-1,informativeness,2
30,Classification_14,ChatYuan-Large,ChatYuan-Large_Classification_14,-1,-1,harmlessness,3
31,Classification_15,ChatYuan-Large,ChatYuan-Large_Classification_15,-1,-1,fluency,3
32,Classification_15,ChatYuan-Large,ChatYuan-Large_Classification_15,-1,-1,accuracy,1
33,Classification_15,ChatYuan-Large,ChatYuan-Large_Classification_15,-1,-1,logicality,2
34,Classification_15,ChatYuan-Large,ChatYuan-Large_Classification_15,-1,-1,informativeness,1
35,Classification_15,ChatYuan-Large,ChatYuan-Large_Classification_15,-1,-1,harmlessness,3
36,Classification_16,ChatYuan-Large,ChatYuan-Large_Classification_16,-1,-1,fluency,3
37,Classification_16,ChatYuan-Large,ChatYuan-Large_Classification_16,-1,-1,accuracy,3
38,Classification_16,ChatYuan-Large,ChatYuan-Large_Classification_16,-1,-1,logicality,3
39,Classification_16,ChatYuan-Large,ChatYuan-Large_Classification_16,-1,-1,informativeness,3
40,Classification_16,ChatYuan-Large,ChatYuan-Large_Classification_16,-1,-1,harmlessness,3
41,Classification_17,ChatYuan-Large,ChatYuan-Large_Classification_17,-1,-1,fluency,3
42,Classification_17,ChatYuan-Large,ChatYuan-Large_Classification_17,-1,-1,accuracy,2
43,Classification_17,ChatYuan-Large,ChatYuan-Large_Classification_17,-1,-1,logicality,3
44,Classification_17,ChatYuan-Large,ChatYuan-Large_Classification_17,-1,-1,informativeness,3
45,Classification_17,ChatYuan-Large,ChatYuan-Large_Classification_17,-1,-1,harmlessness,3
46,Classification_18,ChatYuan-Large,ChatYuan-Large_Classification_18,-1,-1,fluency,3
47,Classification_18,ChatYuan-Large,ChatYuan-Large_Classification_18,-1,-1,accuracy,2
48,Classification_18,ChatYuan-Large,ChatYuan-Large_Classification_18,-1,-1,logicality,3
49,Classification_18,ChatYuan-Large,ChatYuan-Large_Classification_18,-1,-1,informativeness,2
50,Classification_18,ChatYuan-Large,ChatYuan-Large_Classification_18,-1,-1,harmlessness,3
51,Classification_19,ChatYuan-Large,ChatYuan-Large_Classification_19,-1,-1,fluency,3
52,Classification_19,ChatYuan-Large,ChatYuan-Large_Classification_19,-1,-1,accuracy,2
53,Classification_19,ChatYuan-Large,ChatYuan-Large_Classification_19,-1,-1,logicality,3
54,Classification_19,ChatYuan-Large,ChatYuan-Large_Classification_19,-1,-1,informativeness,3
55,Classification_19,ChatYuan-Large,ChatYuan-Large_Classification_19,-1,-1,harmlessness,3
56,Classification_2,ChatYuan-Large,ChatYuan-Large_Classification_2,-1,-1,fluency,3
57,Classification_2,ChatYuan-Large,ChatYuan-Large_Classification_2,-1,-1,accuracy,2
58,Classification_2,ChatYuan-Large,ChatYuan-Large_Classification_2,-1,-1,logicality,3
59,Classification_2,ChatYuan-Large,ChatYuan-Large_Classification_2,-1,-1,informativeness,3
60,Classification_2,ChatYuan-Large,ChatYuan-Large_Classification_2,-1,-1,harmlessness,3
61,Classification_20,ChatYuan-Large,ChatYuan-Large_Classification_20,-1,-1,fluency,3
62,Classification_20,ChatYuan-Large,ChatYuan-Large_Classification_20,-1,-1,accuracy,3
63,Classification_20,ChatYuan-Large,ChatYuan-Large_Classification_20,-1,-1,logicality,3
64,Classification_20,ChatYuan-Large,ChatYuan-Large_Classification_20,-1,-1,informativeness,3
